CAD System,Test Case,PMI Annotation,Annotation Type,Error Type,PMI Error
CAD D (2015),FTC 9, 2X ∅.315 ±.008 [8 ±0.2],Dimension,5 - Annotation layout (graphic),DIM dual dimension position is incorrect
CAD B (2012),CTC 3, 2X ∅.438 ±.005,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD B (2015),FTC 6, 2X ∅.562 ±.008,Dimension,9 - Annotation text (graphic),DIM nominal value rounded incorrectly
CAD C (2015),FTC 6, 2X ∅.562 ±.008,Dimension,9 - Annotation text (graphic),DIM nominal value rounded incorrectly
CAD B (2012),CTC 2, 2X ∅100 ±0.15,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD B (2012),CTC 2, 2X ∅52 ±0.15,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD B (2015),FTC 6, 2X ⌴∅.812 ±.020,Dimension - hole,9 - Annotation text (graphic),DIM nominal value rounded incorrectly
CAD C (2015),FTC 6, 2X ⌴∅.812 ±.020,Dimension - hole,9 - Annotation text (graphic),DIM nominal value rounded incorrectly
CAD A (2015),FTC 6, 2X 1.00 : 3.00 ⌲,Dimension - other,2 - Annotation parameters (semantic),DIM conic surfaces defined with encoded text
CAD B (2015),FTC 6, 2X 1.00 : 3.00 ⌲,Dimension - other,2 - Annotation parameters (semantic),DIM conic surfaces defined with encoded text
CAD C (2015),FTC 6, 2X 1.00 : 3.00 ⌲,Dimension - other,2 - Annotation parameters (semantic),DIM conic surfaces defined with encoded text
CAD D (2015),FTC 6, 2X 1.00 : 3.00 ⌲,Dimension - other,2 - Annotation parameters (semantic),DIM conic surfaces defined with encoded text
CAD D (2015),FTC 6, 2X 1.00 : 3.00 ⌲,Dimension - other,8 - Annotation lines (graphic),DIM leader line is extraneous
CAD A (2015),FTC 9, 2X 1.00 ±.02 (Oriented),Dimension,3 - Annotation geometry (semantic),DIM edge association is extraneous
CAD D (2015),FTC 9, 2X 1.00 ±.02 (Oriented),Dimension,5 - Annotation layout (graphic),Slot DIM defined as two separate DIMs
CAD C (2015),FTC 6, 2X CR.50 ±.02,Dimension,2 - Annotation parameters (semantic),DIM controlled radius defined with encoded text
CAD D (2015),FTC 6, 2X CR.50 ±.02,Dimension,2 - Annotation parameters (semantic),DIM controlled radius defined with encoded text
CAD A (2015),FTC 9, 2X R,Dimension - other,2 - Annotation parameters (semantic),DIM slot radius defined with encoded text
CAD A (2015),FTC 9, 2X R,Dimension - other,3 - Annotation geometry (semantic),DIM edge association is extraneous
CAD B (2015),FTC 9, 2X R,Dimension - other,2 - Annotation parameters (semantic),DIM slot radius defined with encoded text
CAD C (2015),FTC 9, 2X R,Dimension - other,2 - Annotation parameters (semantic),DIM slot radius defined with encoded text
CAD D (2015),FTC 9, 2X R,Dimension - other,3 - Annotation geometry (semantic),DIM not associated with face
CAD B (2015),FTC 6, 2X S∅1.250 ±.008,Dimension,2 - Annotation parameters (semantic),DIM spherical diameter defined with encoded text
CAD C (2015),FTC 6, 2X S∅1.250 ±.008,Dimension,2 - Annotation parameters (semantic),DIM spherical diameter defined with encoded text
CAD D (2015),FTC 6, 2X S∅1.250 ±.008,Dimension,2 - Annotation parameters (semantic),DIM spherical diameter defined with encoded text
CAD D (2015),FTC 6, 2X S∅1.250 ±.008,Dimension,3 - Annotation geometry (semantic),DIM not associated with complete set of faces
CAD D (2015),FTC 6, 2X S∅1.250 ±.008,Dimension,9 - Annotation text (graphic),DIM missing pattern text
CAD B (2012),CTC 4, 30X ∅14 ±0.1,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD A (2012),CTC 4, 30X ⌵∅20 ±0.3 X 90° ±1°,Dimension - hole,5 - Annotation layout (graphic),Countersink DIM defined as two separate DIM's
CAD C (2012),CTC 4, 30X ⌵∅20 ±0.3 X 90° ±1°,Dimension - hole,5 - Annotation layout (graphic),Countersink DIM defined as two separate DIM's
CAD D (2012),CTC 4, 30X ⌵∅20 ±0.3 X 90° ±1°,Dimension - hole,1 - Annotation structure (semantic),Countersink diameter DIM not defined
CAD D (2012),CTC 4, 30X ⌵∅20 ±0.3 X 90° ±1°,Dimension - hole,5 - Annotation layout (graphic),Countersink DIM defined as two separate DIM's
CAD B (2015),FTC 9, 3X ∅.250 +.003/-.000,Dimension,7 - Annotation orientation (graphic),DIM view plane rotated
CAD B (2015),FTC 9, 3X ∅.250 +.003/-.000,Dimension,9 - Annotation text (graphic),DIM missing zero limit negative sign
CAD B (2015),FTC 9, 3X ∅.250 +.003/-.000,Dimension,7 - Annotation orientation (graphic),DIM view plane rotated
CAD B (2015),FTC 9, 3X ∅.250 +.003/-.000,Dimension,9 - Annotation text (graphic),DIM missing zero limit negative sign
CAD A (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD A (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD A (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,9 - Annotation text (graphic),FCF extension line DIM text is extraneous
CAD B (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD B (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,2 - Annotation parameters (semantic),FCF diameter symbol not specified
CAD B (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD C (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD D (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD D (2015),FTC 9, 3X ⊕ | .020 | A | B | C (Oriented),Position,5 - Annotation layout (graphic),FCF instance count not in front
CAD A (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD A (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD A (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,8 - Annotation lines (graphic),FCF radial extension lines defined as SG curves
CAD A (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,9 - Annotation text (graphic),FCF extension line DIM text is extraneous
CAD B (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD B (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,2 - Annotation parameters (semantic),FCF diameter symbol not specified
CAD B (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD B (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,8 - Annotation lines (graphic),FCF radial extension lines defined as SG curves
CAD B (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,9 - Annotation text (graphic),FCF pattern text is incorrect
CAD C (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD C (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,8 - Annotation lines (graphic),FCF radial extension lines defined as SG curves
CAD D (2015),FTC 9, 3X ⊕ | .03 | A | G | H (Oriented),Position,1 - Annotation structure (semantic),FCF not defined
CAD A (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD A (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD A (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,9 - Annotation text (graphic),FCF extension line DIM text is extraneous
CAD B (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD B (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,2 - Annotation parameters (semantic),FCF diameter symbol not specified
CAD B (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD C (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,1 - Annotation structure (semantic),FCF extension lines defined as separate DIM
CAD D (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,3 - Annotation geometry (semantic),FCF not associated with SG curve
CAD D (2015),FTC 9, 3X ⊕ | .060 | A | B | C (Oriented),Position,5 - Annotation layout (graphic),FCF instance count not in front
CAD A (2015),FTC 9, 4X .03 ±.01 X .03 ±.01,Dimension - hole,5 - Annotation layout (graphic),Countersink DIM defined as two separate DIM's
CAD B (2015),FTC 9, 4X .03 ±.01 X .03 ±.01,Dimension - hole,5 - Annotation layout (graphic),Countersink DIM defined as two separate DIM's
CAD C (2015),FTC 9, 4X .03 ±.01 X .03 ±.01,Dimension - hole,5 - Annotation layout (graphic),Countersink DIM defined as two separate DIM's
CAD D (2015),FTC 9, 4X .03 ±.01 X .03 ±.01,Dimension - hole,2 - Annotation parameters (semantic),Chamfer DIM width not defined
CAD D (2015),FTC 9, 4X .03 ±.01 X .03 ±.01,Dimension - hole,3 - Annotation geometry (semantic),DIM associated with incorrect face
CAD B (2012),CTC 3, 4X .82 ±.06 (Origin),Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD D (2012),CTC 3, 4X .82 ±.06 (Origin),Dimension,2 - Annotation parameters (semantic),DIM origin not defined
CAD B (2012),CTC 3, 4X ∅.625 ±.005,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD A (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,5 - Annotation layout (graphic),Counterbore DIM defined as two separate DIM's
CAD B (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,3 - Annotation geometry (semantic),DIM not associated with complete set of faces
CAD B (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,5 - Annotation layout (graphic),Counterbore DIM defined as two separate DIM's
CAD B (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,9 - Annotation text (graphic),DIM has extraneous space
CAD C (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,5 - Annotation layout (graphic),Counterbore DIM defined as two separate DIM's
CAD D (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,3 - Annotation geometry (semantic),DIM not associated with complete set of faces
CAD D (2012),CTC 4, 4X ⌴∅20 ±0.2 ↧20 ±0.2,Dimension - hole,5 - Annotation layout (graphic),Counterbore DIM defined as two separate DIM's
CAD A (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,2 - Annotation parameters (semantic),DIM parameter defined with encoded text
CAD A (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,5 - Annotation layout (graphic),Threaded hole DIM defined as two separate DIM's
CAD B (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,3 - Annotation geometry (semantic),DIM not associated with complete set of faces
CAD B (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,5 - Annotation layout (graphic),Threaded hole DIM defined as two separate DIM's
CAD B (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,9 - Annotation text (graphic),DIM has extraneous space
CAD C (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,2 - Annotation parameters (semantic),DIM parameter defined with encoded text
CAD C (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,5 - Annotation layout (graphic),Threaded hole DIM defined as two separate DIM's
CAD D (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,1 - Annotation structure (semantic),Threaded hole depth DIM not defined
CAD D (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,2 - Annotation parameters (semantic),DIM parameter defined with encoded text
CAD D (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,3 - Annotation geometry (semantic),DIM associated with extra face
CAD D (2012),CTC 4, 4X M12 ↧ 1.75 - 6H ↧25 ±0.25,Dimension - hole,9 - Annotation text (graphic),DIM has extraneous space
CAD A (2015),FTC 9, 4X R,Dimension - other,2 - Annotation parameters (semantic),DIM slot radius defined with encoded text
CAD A (2015),FTC 9, 4X R,Dimension - other,3 - Annotation geometry (semantic),DIM edge association is extraneous
CAD B (2015),FTC 9, 4X R,Dimension - other,2 - Annotation parameters (semantic),DIM slot radius defined with encoded text
CAD C (2015),FTC 9, 4X R,Dimension - other,2 - Annotation parameters (semantic),DIM slot radius defined with encoded text
CAD D (2015),FTC 9, 4X R,Dimension - other,3 - Annotation geometry (semantic),DIM not associated with face
CAD B (2012),CTC 4, 6X ∅6.65 ±0.12,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD D (2012),CTC 4, 6X ∅6.65 ±0.12,Dimension,3 - Annotation geometry (semantic),FCF associated with extra face
CAD A (2012),CTC 3, A,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2012),CTC 4, A,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD D (2012),CTC 4, A,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD D (2012),CTC 5, A,Datum feature,4 - Annotation visibility (graphic),DFS not visible in specified view
CAD C (2012),CTC 2, A1,Datum target,3 - Annotation geometry (semantic),DTS associated with extra face
CAD C (2012),CTC 2, A1,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, A1,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 2, A1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD C (2012),CTC 2, A2,Datum target,3 - Annotation geometry (semantic),DTS associated with extra face
CAD C (2012),CTC 2, A2,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, A2,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 2, A2,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD C (2012),CTC 2, A3,Datum target,3 - Annotation geometry (semantic),DTS associated with extra face
CAD C (2012),CTC 2, A3,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD D (2012),CTC 2, A3,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD B (2012),CTC 1, B,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD B (2012),CTC 4, B,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD C (2012),CTC 1, B,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD C (2012),CTC 3, B,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2012),CTC 4, B,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD D (2012),CTC 5, B,Datum feature,6 - Annotation location (graphic),DFS overlaps DIM graphics
CAD A (2015),FTC 9, B,Datum feature,3 - Annotation geometry (semantic),DFS edge association is extraneous
CAD C (2015),FTC 6, B,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2015),FTC 8, B,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2015),FTC 9, B,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD B (2012),CTC 2, B1,Datum target,3 - Annotation geometry (semantic),DTS not associated with face
CAD C (2012),CTC 2, B1,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, B1,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 2, B1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD B (2012),CTC 2, B2,Datum target,3 - Annotation geometry (semantic),DTS not associated with face
CAD C (2012),CTC 2, B2,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, B2,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 2, B2,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD B (2012),CTC 2, B3,Datum target,3 - Annotation geometry (semantic),DTS not associated with face
CAD C (2012),CTC 2, B3,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, B3,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 2, B3,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD B (2012),CTC 2, B4,Datum target,3 - Annotation geometry (semantic),DTS not associated with face
CAD C (2012),CTC 2, B4,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, B4,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 2, B4,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD B (2012),CTC 1, C,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD B (2012),CTC 4, C,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD C (2012),CTC 1, C,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD C (2012),CTC 3, C,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2012),CTC 4, C,Datum feature,8 - Annotation lines (graphic),DFS has no extension line
CAD A (2015),FTC 9, C,Datum feature,3 - Annotation geometry (semantic),DFS edge association is extraneous
CAD C (2015),FTC 8, C,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2012),CTC 5, C1,Datum target,4 - Annotation visibility (graphic),DFS is extraneous when DTS is defined
CAD C (2012),CTC 2, C1,Datum target,4 - Annotation visibility (graphic),DTS visible in wrong view
CAD C (2012),CTC 2, C1,Datum target,7 - Annotation orientation (graphic),DTS text is backwards in this view
CAD D (2012),CTC 5, C1,Datum target,9 - Annotation text (graphic),DTS text is extraneous
CAD D (2012),CTC 2, C1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG point
CAD C (2015),FTC 9, D,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2012),CTC 5, D1,Datum target,9 - Annotation text (graphic),DTS text is extraneous
CAD C (2012),CTC 2, E,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD B (2015),FTC 8, E,Datum feature,8 - Annotation lines (graphic),DFS missing extension line
CAD C (2015),FTC 8, E,Datum feature,8 - Annotation lines (graphic),DFS missing extension line
CAD C (2015),FTC 9, E,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2015),FTC 8, E,Datum feature,9 - Annotation text (graphic),DFS text is extraneous
CAD D (2015),FTC 9, E,Datum feature,3 - Annotation geometry (semantic),DFS not associated with complete set of faces
CAD D (2015),FTC 9, E,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2015),FTC 9, E,Datum feature,9 - Annotation text (graphic),DFS text is extraneous
CAD C (2012),CTC 2, F,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2012),CTC 3, F,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD B (2015),FTC 8, F,Datum feature,8 - Annotation lines (graphic),DFS missing extension line
CAD C (2015),FTC 6, F,Datum feature,8 - Annotation lines (graphic),DFS missing extension line
CAD C (2015),FTC 8, F,Datum feature,8 - Annotation lines (graphic),DFS missing extension line
CAD C (2015),FTC 9, F,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2015),FTC 6, F,Datum feature,3 - Annotation geometry (semantic),DFS not associated with complete set of faces
CAD D (2015),FTC 6, F,Datum feature,9 - Annotation text (graphic),DFS text is extraneous
CAD D (2015),FTC 8, F,Datum feature,9 - Annotation text (graphic),DFS text is extraneous
CAD D (2015),FTC 9, F,Datum feature,3 - Annotation geometry (semantic),DFS not associated with complete set of faces
CAD D (2015),FTC 9, F,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2015),FTC 9, F,Datum feature,9 - Annotation text (graphic),DFS text is extraneous
CAD C (2015),FTC 8, G,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2015),FTC 9, G,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2015),FTC 8, G,Datum feature,3 - Annotation geometry (semantic),DFS not associated with complete set of faces
CAD D (2015),FTC 8, G,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD D (2015),FTC 8, G,Datum feature,9 - Annotation text (graphic),DFS text is extraneous
CAD B (2015),FTC 6, G1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD C (2015),FTC 6, G1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD D (2015),FTC 6, G1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG curve
CAD C (2012),CTC 2, H,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2012),CTC 4, H,Datum feature,6 - Annotation location (graphic),DFS partially buried in solid
CAD C (2015),FTC 8, H,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2015),FTC 9, H,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD B (2015),FTC 6, H1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD C (2015),FTC 6, H1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD D (2015),FTC 6, H1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG curve
CAD C (2012),CTC 2, J,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD C (2015),FTC 8, J,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD B (2015),FTC 6, J1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD C (2015),FTC 6, J1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD D (2015),FTC 6, J1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG curve
CAD D (2015),FTC 6, J1,Datum target,4 - Annotation visibility (graphic),DFS is extraneous when DTS is defined
CAD B (2015),FTC 6, J2,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD C (2015),FTC 6, J2,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD D (2015),FTC 6, J2,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG curve
CAD D (2015),FTC 6, J2,Datum target,4 - Annotation visibility (graphic),DFS is extraneous when DTS is defined
CAD C (2015),FTC 8, K,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD B (2015),FTC 6, K1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD C (2015),FTC 6, K1,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD D (2015),FTC 6, K1,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG curve
CAD D (2015),FTC 6, K1,Datum target,4 - Annotation visibility (graphic),DFS is extraneous when DTS is defined
CAD B (2012),CTC 2, K1 ∅0.85,Datum target,5 - Annotation layout (graphic),DTS target area diameter defined as separate DIM
CAD C (2012),CTC 2, K1 ∅0.85,Datum target,4 - Annotation visibility (graphic),DFS is extraneous when DTS is defined
CAD B (2015),FTC 6, K2,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD C (2015),FTC 6, K2,Datum target,1 - Annotation structure (semantic),DTS requires DFS to be defined
CAD D (2015),FTC 6, K2,Datum target,3 - Annotation geometry (semantic),DTS not associated with SG curve
CAD D (2015),FTC 6, K2,Datum target,4 - Annotation visibility (graphic),DFS is extraneous when DTS is defined
CAD C (2015),FTC 8, L,Datum feature,6 - Annotation location (graphic),DFS not attached to FCF
CAD A (2015),FTC 6, ⌳ 1.00 : 2.00,Dimension - other,2 - Annotation parameters (semantic),DIM tapered center defined with encoded text
CAD B (2015),FTC 6, ⌳ 1.00 : 2.00,Dimension - other,2 - Annotation parameters (semantic),DIM tapered center defined with encoded text
CAD C (2015),FTC 6, ⌳ 1.00 : 2.00,Dimension - other,2 - Annotation parameters (semantic),DIM tapered center defined with encoded text
CAD D (2015),FTC 6, ⌳ 1.00 : 2.00,Dimension - other,2 - Annotation parameters (semantic),DIM tapered center defined with encoded text
CAD B (2015),FTC 6,-1.106,Dimension,9 - Annotation text (graphic),DIM has extraneous space
CAD B (2015),FTC 6,-1.106,Dimension,9 - Annotation text (graphic),DIM has extraneous space
